fast,slow,signal,win,lose,result,winrate
7,12,2,299,185,1474359.6500000006,61.77685950413223
3,20,4,286,177,1373351.1500000001,61.77105831533477
4,20,3,286,177,1373351.1500000001,61.77105831533477
6,18,6,189,117,872167.0599999995,61.76470588235294
3,19,4,289,179,1403791.7000000007,61.75213675213675
7,19,9,134,83,477325.3600000002,61.75115207373272
9,19,7,134,83,477325.3600000002,61.75115207373272
2,11,8,297,184,1460319.4500000007,61.74636174636175
8,11,2,297,184,1460319.4500000007,61.74636174636175
4,13,4,276,171,1326678.57,61.74496644295302
4,12,4,279,173,1343842.4700000002,61.72566371681416
8,16,9,129,80,441695.76000000024,61.72248803827751
9,16,8,129,80,441695.76000000024,61.72248803827751
3,17,8,237,147,1159726.5199999998,61.71875
8,17,3,237,147,1159726.5199999998,61.71875
3,18,7,245,152,1165103.2999999998,61.712846347607055
7,18,3,245,152,1165103.2999999998,61.712846347607055
4,16,5,253,157,1208322.3199999998,61.707317073170735
5,16,4,253,157,1208322.3199999998,61.707317073170735
2,13,9,282,175,1366741.5000000005,61.70678336980306
9,13,2,282,175,1366741.5000000005,61.70678336980306
2,24,4,319,198,1588572.9000000006,61.702127659574465
4,19,8,203,126,966730.8999999997,61.702127659574465
4,24,2,319,198,1588572.9000000006,61.702127659574465
8,19,4,203,126,966730.8999999997,61.702127659574465
4,20,7,211,131,1013549.2699999998,61.69590643274854
7,20,4,211,131,1013549.2699999998,61.69590643274854
8,19,9,124,77,441533.61000000045,61.691542288557216
9,19,8,124,77,441533.61000000045,61.691542288557216
5,20,5,219,136,1055019.6699999997,61.690140845070424
2,16,7,285,177,1396183.6000000006,61.688311688311686
2,19,7,285,177,1398275.2500000005,61.688311688311686
7,16,2,285,177,1396183.6000000006,61.688311688311686
7,19,2,285,177,1398275.2500000005,61.688311688311686
3,20,6,256,159,1239443.1199999999,61.68674698795181
6,20,3,256,159,1239443.1199999999,61.68674698795181
2,24,8,264,164,1310591.6900000004,61.6822429906542
5,11,9,198,123,910849.1599999998,61.6822429906542
8,24,2,264,164,1310591.6900000004,61.6822429906542
9,11,5,198,123,910849.1599999998,61.6822429906542
3,10,7,272,169,1299810.3199999998,61.678004535147394
7,10,3,272,169,1299810.3199999998,61.678004535147394
4,14,9,206,128,973204.4799999997,61.67664670658683
9,14,4,206,128,973204.4799999997,61.67664670658683
5,15,6,214,133,990416.3799999995,61.671469740634
6,15,5,214,133,990416.3799999995,61.671469740634
3,17,6,259,161,1230741.6999999995,61.666666666666664
4,10,6,259,161,1250692.8499999996,61.666666666666664
4,21,4,259,161,1234999.7999999996,61.666666666666664
4,23,4,259,161,1235365.3199999998,61.666666666666664
6,10,4,259,161,1250692.8499999996,61.666666666666664
6,17,3,259,161,1230741.6999999995,61.666666666666664
3,14,9,238,148,1134392.4299999997,61.6580310880829
9,14,3,238,148,1134392.4299999997,61.6580310880829
3,15,7,254,158,1214895.9499999997,61.650485436893206
7,15,3,254,158,1214895.9499999997,61.650485436893206
7,18,9,135,84,459194.91000000015,61.64383561643836
9,18,7,135,84,459194.91000000015,61.64383561643836
3,10,6,278,173,1336405.8700000003,61.64079822616408
3,15,5,278,173,1334497.2499999998,61.64079822616408
5,15,3,278,173,1334497.2499999998,61.64079822616408
6,10,3,278,173,1336405.8700000003,61.64079822616408
5,17,7,196,122,899600.5299999994,61.63522012578616
6,15,6,196,122,904826.3599999994,61.63522012578616
7,17,5,196,122,899600.5299999994,61.63522012578616
